Day,Start,End,Work unit description,Duration,Task,Month,Year,Weekday,Task Category
2021-12-01,9:08 PM,11:59 PM,城设,171,Homework,2021-12,2021,Wednesday,School
2021-12-02,12:00 AM,3:09 AM,城设,189,Homework,2021-12,2021,Thursday,School
2021-12-02,9:09 PM,11:09 PM,基础设施,120,Homework,2021-12,2021,Thursday,School
2021-12-03,11:40 PM,11:59 PM,翻译,19,Thesis,2021-12,2021,Friday,Research
2021-12-04,12:00 AM,1:53 AM,翻译,113,Thesis,2021-12,2021,Saturday,Research
2021-12-06,3:20 PM,5:19 PM,翻译,119,Thesis,2021-12,2021,Monday,Research
2021-12-06,5:29 PM,7:07 PM,翻译,98,Thesis,2021-12,2021,Monday,Research
2021-12-08,3:45 PM,7:31 PM,,226,Homework,2021-12,2021,Wednesday,School
2021-12-10,8:07 PM,10:07 PM,mkt,120,Homework,2021-12,2021,Friday,School
2021-12-11,9:30 PM,10:30 PM,写,60,Thesis,2021-12,2021,Saturday,Research
2021-12-12,1:00 AM,1:45 AM,写,45,Thesis,2021-12,2021,Sunday,Research
2021-12-12,2:26 AM,3:06 AM,mkt,40,Homework,2021-12,2021,Sunday,School
2021-12-12,4:26 PM,6:21 PM,MKT,115,Homework,2021-12,2021,Sunday,School
2021-12-13,7:39 PM,11:59 PM,mkt,260,Homework,2021-12,2021,Monday,School
2021-12-14,12:00 AM,12:32 AM,mkt,32,Homework,2021-12,2021,Tuesday,School
2021-12-15,2:17 PM,8:55 PM,城设,399,Homework,2021-12,2021,Wednesday,School
2021-12-15,11:47 PM,11:59 PM,城设,12,Homework,2021-12,2021,Wednesday,School
2021-12-16,12:00 AM,12:48 AM,城设,48,Homework,2021-12,2021,Thursday,School
2021-12-16,7:51 AM,8:51 AM,Python,60,Data Science & Programming,2021-12,2021,Thursday,Data Science & Programming
2021-12-16,3:52 PM,5:52 PM,开头,120,Thesis,2021-12,2021,Thursday,Research
2021-12-17,1:44 PM,2:55 PM,看论文,71,Thesis,2021-12,2021,Friday,Research
2021-12-17,8:47 PM,10:19 PM,写论文,92,Thesis,2021-12,2021,Friday,Research
